user_interview_id,answers_id,grade,duration_time_audio,duration_time_db
443667,599,20,57,60
443668,582,20,58,60
443669,565,20,58,60
443673,599,20,59,60
443674,582,20,59,60
443676,565,20,58,60
443680,497,30,26,40
443682,480,30,24,40
443684,378,25,49,50
443686,361,25,47,50
443687,497,30,34,40
443688,480,30,34,40
443689,463,30,32,40
443697,497,30,39,40
443703,582,20,59,60
443716,497,30,39,40
443718,497,30,39,40
443719,480,30,38,40
443720,497,30,39,40
443721,480,30,39,40
443722,463,30,39,40
443729,599,20,59,60
443731,497,30,35,40
443732,242,30,38,40
443733,276,20,45,60
443734,463,30,20,40
443737,599,20,59,60
443738,497,30,37,40
443742,599,20,23,60
443754,548,25,49,50
443774,548,25,49,50
443776,123,20,46,60
443791,497,30,39,40
443794,599,20,59,60
443799,582,20,56,60
443800,565,20,54,60
443804,548,25,46,50
443808,548,25,39,50
443816,310,20,59,60
443834,446,30,34,40
443841,497,30,39,40
443843,548,25,48,50
443848,38,30,38,40
443849,497,30,38,40
443854,497,30,39,40
443855,480,30,39,40
443856,463,30,39,40
443864,548,25,48,50
443865,599,20,59,60
443868,293,20,47,60
443869,276,20,46,60
443870,259,20,47,60
443871,140,20,47,60
443872,123,20,47,60
443873,106,20,46,60
443874,55,20,48,60
443876,21,20,49,60
443903,225,30,39,40
443904,208,30,37,40
443905,100,30,14,15
443911,395,25,36,50
443922,599,20,59,60
443930,531,25,49,50
443932,548,25,49,50
443933,531,25,49,50
443934,582,20,52,60
443935,531,25,47,50
443936,514,25,46,50
443940,276,20,50,60
443941,497,30,22,40
443944,497,30,39,40
443945,497,30,39,40
443946,480,30,39,40
443947,463,30,39,40
443954,565,20,57,60
443959,531,25,49,50
443969,582,20,35,60
443978,21,20,52,60
444006,480,30,39,40
444012,55,20,46,60
444013,582,20,59,60
444014,565,20,59,60
444015,599,20,58,60
444017,531,25,49,50
444018,514,25,49,50
444020,497,30,38,40
444021,480,30,39,40
444022,463,30,39,40
444026,497,30,32,40
444041,582,20,59,60
444043,582,20,55,60
444044,21,20,50,60
444050,480,30,39,40
444051,463,30,39,40
444052,259,20,47,60
444055,259,20,52,60
444056,548,25,49,50
444062,446,30,34,40
444064,480,30,37,40
444070,565,20,58,60
444087,480,30,33,40
444088,463,30,38,40
444091,140,20,55,60
444129,497,30,39,40
444130,480,30,39,40
444133,463,30,39,40
444143,463,30,37,40
444144,463,30,38,40
444146,565,20,56,60
444148,599,20,58,60
444154,582,20,59,60
444155,582,20,59,60
444170,599,20,54,60
444174,38,30,39,40
444182,599,20,59,60
444183,599,20,59,60
444187,599,20,53,60
444188,582,20,51,60
444189,565,20,50,60
444190,582,20,53,60
444198,582,20,59,60
444199,565,20,59,60
444216,480,30,39,40
444224,565,20,56,60
444242,446,30,37,40
444244,242,30,38,40
444247,582,20,59,60
444256,548,25,48,50
444264,565,20,59,60
444308,463,30,39,40
444309,497,30,38,40
444310,480,30,38,40
444311,463,30,38,40
444323,582,20,59,60
444325,565,20,59,60
444337,599,20,32,60
444340,548,25,21,50
444341,565,20,59,60
444347,497,30,39,40
444369,565,20,59,60
444376,599,20,59,60
444387,463,30,39,40
444403,497,30,33,40
444416,548,25,49,50
444419,497,30,38,40
444420,497,30,36,40
444426,599,20,59,60
444433,599,20,59,60
444442,548,25,49,50
444443,531,25,49,50
444452,497,30,39,40
444453,480,30,39,40
444458,480,30,39,40
444462,463,30,39,40
444472,497,30,35,40
444473,480,30,35,40
444474,463,30,33,40
444481,565,20,48,60
444492,548,25,49,50
444494,531,25,46,50
444496,514,25,42,50
444505,480,30,39,40
444511,599,20,59,60
444512,497,30,39,40
444515,582,20,59,60
444565,548,25,35,50
444567,531,25,30,50
444568,514,25,38,50
444581,497,30,36,40
444582,497,30,35,40
444583,480,30,35,40
444614,11,25,18,20
444616,548,25,49,50
444617,463,30,39,40
444627,582,20,59,60
444643,565,20,59,60
444650,531,25,49,50
444658,548,25,46,50
444659,463,30,39,40
444662,548,25,46,50
444665,582,20,59,60
444666,582,20,56,60
444673,531,25,46,50
444674,446,30,38,40
444692,497,30,33,40
444694,514,25,49,50
444695,548,25,49,50
444702,480,30,39,40
444703,463,30,39,40
444708,514,25,46,50
444712,514,25,49,50
444726,548,25,49,50
444730,497,30,34,40
444731,480,30,39,40
444733,497,30,34,40
444745,531,25,49,50
444750,497,30,27,40
444751,497,30,11,40
444773,361,25,49,50
444780,480,30,34,40
444781,480,30,34,40
444788,548,25,47,50
444808,463,30,34,40
444825,565,20,59,60
444837,548,25,49,50
444838,531,25,49,50
444839,514,25,49,50
444850,480,30,34,40
444865,565,20,59,60
444868,599,20,57,60
444874,480,30,38,40
444876,463,30,39,40
444877,497,30,38,40
444883,548,25,49,50
444886,463,30,34,40
444895,514,25,49,50
444904,497,30,38,40
444905,480,30,36,40
444906,480,30,37,40
444907,480,30,33,40
444909,463,30,32,40
444913,497,30,34,40
444914,480,30,39,40
444935,599,20,59,60
444955,548,25,49,50
444966,599,20,56,60
444969,531,25,49,50
444970,599,20,59,60
444971,548,25,49,50
444974,548,25,49,50
444979,582,20,56,60
444982,599,20,59,60
444994,463,30,39,40
445003,497,30,39,40
445007,497,30,39,40
445012,480,30,39,40
445049,531,25,49,50
445059,429,30,31,40
445074,599,20,59,60
445085,497,30,39,40
445090,514,25,49,50
445094,565,20,59,60
445095,463,30,39,40
445096,497,30,39,40
445097,480,30,39,40
445127,497,30,39,40
445132,361,25,33,50
445170,548,25,48,50
445192,463,30,10,40
445197,599,20,59,60
445198,208,30,38,40
445203,599,20,59,60
445205,191,25,49,50
445206,548,25,49,50
445216,276,20,59,60
445217,259,20,59,60
445221,582,20,59,60
445223,582,20,59,60
445249,514,25,48,50
445258,548,25,46,50
445267,497,30,38,40
445272,480,30,39,40
445274,463,30,39,40
445276,497,30,39,40
445277,480,30,39,40
445278,463,30,39,40
445279,463,30,39,40
445280,497,30,33,40
445300,463,30,39,40
445302,497,30,38,40
445303,480,30,39,40
445305,497,30,39,40
445314,463,30,39,40
445315,497,30,38,40
445318,582,20,59,60
445319,565,20,53,60
445324,599,20,59,60
445329,599,20,59,60
445331,548,25,49,50
445338,480,30,36,40
445341,514,25,49,50
445355,497,30,39,40
445356,497,30,39,40
445357,480,30,39,40
445358,463,30,39,40
445365,531,25,46,50
445368,497,30,39,40
445377,548,25,49,50
445378,531,25,49,50
445381,599,20,59,60
445382,582,20,58,60
445388,565,20,58,60
445392,497,30,39,40
445394,293,20,59,60
445395,276,20,59,60
445396,259,20,58,60
445397,140,20,57,60
445399,123,20,57,60
445401,106,20,57,60
445402,497,30,39,40
445403,480,30,39,40
445409,55,20,58,60
445410,21,20,59,60
445421,565,20,59,60
445423,531,25,48,50
445432,497,30,39,40
445433,480,30,39,40
445439,463,30,39,40
445440,463,30,39,40
445448,497,30,39,40
445451,514,25,49,50
445455,548,25,44,50
445456,497,30,10,40
445459,548,25,45,50
445464,548,25,49,50
445470,582,20,7,60
445472,565,20,7,60
445474,582,20,59,60
445475,514,25,49,50
445476,480,30,39,40
445488,646,15,119,120
445489,646,15,118,120
445494,616,15,119,120
445497,38,30,39,40
445498,463,30,34,40
445504,242,30,32,40
445505,208,30,19,40
445509,327,20,56,60
445510,514,25,49,50
445517,463,30,38,40
445518,548,25,49,50
445519,531,25,49,50
445520,497,30,33,40
445534,599,20,58,60
445535,531,25,49,50
445538,480,30,38,40
445540,497,30,39,40
445546,548,25,48,50
445547,531,25,46,50
445551,497,30,39,40
445553,157,25,29,50
445569,463,30,39,40
445588,446,30,39,40
445590,599,20,59,60
445598,463,30,39,40
445600,565,20,59,60
445608,463,30,32,40
445613,599,20,56,60
445633,599,20,58,60
445634,582,20,56,60
445648,599,20,54,60
445650,582,20,54,60
445651,646,15,119,120
445653,631,15,113,120
445654,565,20,55,60
445672,599,20,58,60
445674,582,20,55,60
445679,497,30,39,40
445680,480,30,39,40
445681,463,30,37,40
445682,497,30,37,40
445683,480,30,36,40
445691,497,30,39,40
445692,463,30,39,40
445694,548,25,45,50
445696,429,30,39,40
445705,480,30,39,40
445709,429,30,39,40
445710,242,30,39,40
445713,242,30,39,40
445715,225,30,39,40
445716,208,30,39,40
445717,100,30,14,15
445720,38,30,39,40
445743,548,25,47,50
445744,531,25,48,50
445746,548,25,49,50
445748,548,25,48,50
445751,582,20,57,60
445753,599,20,56,60
445755,599,20,57,60
445759,497,30,38,40
445773,531,25,47,50
445774,497,30,38,40
445794,225,30,16,40
445796,582,20,58,60
445802,463,30,38,40
445812,565,20,59,60
445813,599,20,56,60
445815,599,20,53,60
445819,429,30,39,40
445823,225,30,33,40
445835,548,25,49,50
445839,11,25,19,20
445840,480,30,39,40
445851,582,20,49,60
445852,565,20,49,60
445853,565,20,59,60
445867,327,20,7,60
445868,480,30,36,40
445871,310,20,7,60
445872,293,20,10,60
445873,293,20,58,60
445875,497,30,39,40
445878,497,30,36,40
445880,293,20,59,60
445889,100,30,13,15
445890,38,30,34,40
445891,497,30,33,40
445892,480,30,33,40
445905,599,20,52,60
445907,599,20,59,60
445910,480,30,38,40
445917,599,20,59,60
445938,463,30,32,40
445939,446,30,33,40
445950,463,30,36,40
445953,463,30,39,40
445976,582,20,50,60
445977,565,20,53,60
445978,480,30,37,40
445982,599,20,56,60
445984,72,25,49,50
445989,582,20,59,60
446002,497,30,28,40
446003,497,30,27,40
446005,463,30,39,40
446007,582,20,34,60
446008,565,20,42,60
446017,582,20,59,60
446025,497,30,39,40
446036,327,20,57,60
446037,497,30,37,40
446043,531,25,46,50
446050,480,30,37,40
446052,599,20,59,60
446053,582,20,59,60
446058,480,30,36,40
446059,497,30,39,40
446061,565,20,59,60
446082,480,30,37,40
446089,446,30,39,40
446090,259,20,59,60
446091,259,20,59,60
446092,514,25,46,50
446096,565,20,59,60
446099,599,20,54,60
446103,463,30,30,40
446109,599,20,59,60
446115,565,20,48,60
446118,599,20,10,60
446122,599,20,23,60
446123,582,20,23,60
446124,565,20,45,60
446125,599,20,55,60
446126,599,20,59,60
446128,646,15,91,120
446130,599,20,59,60
446133,631,15,108,120
446135,631,15,90,120
446142,646,15,117,120
446146,548,25,49,50
446150,582,20,59,60
446151,565,20,59,60
446152,327,20,59,60
446155,225,30,38,40
446156,225,30,38,40
446158,293,20,59,60
446162,599,20,59,60
446163,276,20,39,60
446164,259,20,34,60
446165,140,20,8,60
446167,123,20,10,60
446168,106,20,58,60
446178,548,25,40,50
446181,100,30,5,15
446186,497,30,39,40
446187,480,30,37,40
446188,463,30,38,40
446198,463,30,36,40
446200,310,20,56,60
446202,599,20,56,60
446203,582,20,57,60
446205,599,20,56,60
446207,446,30,38,40
446209,429,30,39,40
446210,242,30,37,40
446212,497,30,37,40
446214,225,30,37,40
446217,463,30,39,40
446220,480,30,39,40
446225,463,30,39,40
446231,497,30,38,40
446234,497,30,39,40
446235,480,30,39,40
446236,242,30,37,40
446238,38,30,38,40
446239,497,30,39,40
446244,599,20,59,60
446249,446,30,35,40
446252,259,20,59,60
446254,140,20,59,60
446256,497,30,39,40
446257,582,20,59,60
446258,565,20,59,60
446259,327,20,59,60
446262,310,20,59,60
446267,123,20,59,60
446269,276,20,59,60
446270,599,20,59,60
446271,582,20,59,60
446276,208,30,39,40
446278,38,30,39,40
446281,497,30,36,40
446282,497,30,35,40
446283,497,30,34,40
446285,259,20,59,60
446290,259,20,59,60
446291,140,20,59,60
446292,123,20,59,60
446294,646,15,119,120
446295,106,20,59,60
446302,514,25,48,50
446307,463,30,39,40
446308,21,20,59,60
446310,38,30,38,40
446344,646,15,119,120
446345,480,30,39,40
446346,631,15,113,120
446350,631,15,119,120
446355,631,15,119,120
446370,310,20,59,60
446372,531,25,49,50
446373,514,25,49,50
446375,412,25,48,50
446378,497,30,39,40
446379,646,15,115,120
446383,548,25,49,50
446387,599,20,58,60
446390,38,30,39,40
446396,140,20,59,60
446398,140,20,59,60
446399,548,25,47,50
446400,531,25,45,50
446407,582,20,59,60
446408,582,20,59,60
446416,497,30,39,40
446418,480,30,39,40
446421,514,25,21,50
446423,225,30,39,40
446428,646,15,119,120
446429,548,25,49,50
446436,616,15,116,120
446444,412,25,14,50
446445,463,30,39,40
446447,646,15,90,120
446449,631,15,109,120
446450,616,15,114,120
446456,646,15,119,120
446458,631,15,118,120
446461,565,20,56,60
446465,480,30,39,40
446466,463,30,35,40
446467,497,30,34,40
446468,480,30,30,40
446469,599,20,58,60
446470,582,20,54,60
446471,565,20,49,60
446473,310,20,59,60
446474,293,20,55,60
446475,106,20,59,60
446476,106,20,59,60
446496,497,30,32,40
446503,276,20,59,60
446507,259,20,59,60
446509,565,20,59,60
446513,140,20,56,60
446515,123,20,53,60
446516,480,30,30,40
446517,106,20,49,60
446518,582,20,59,60
446519,480,30,39,40
446521,463,30,39,40
446522,599,20,43,60
446523,446,30,39,40
446525,429,30,39,40
446526,463,30,31,40
446527,242,30,39,40
446528,225,30,39,40
446530,208,30,38,40
446532,100,30,14,15
446534,38,30,38,40
446536,565,20,57,60
446537,497,30,35,40
446538,582,20,56,60
446539,599,20,59,60
446544,497,30,37,40
446557,548,25,48,50
446560,646,15,119,120
446569,463,30,38,40
446582,497,30,39,40
446585,480,30,38,40
446586,463,30,34,40
446589,565,20,59,60
446590,293,20,59,60
446591,276,20,58,60
446593,259,20,56,60
446608,582,20,59,60
446614,480,30,39,40
446615,548,25,49,50
446616,293,20,59,60
446618,531,25,49,50
446619,463,30,38,40
446622,514,25,49,50
446624,497,30,39,40
446625,463,30,39,40
446636,646,15,117,120
446644,463,30,13,40
446648,514,25,49,50
446657,480,30,33,40
446658,463,30,28,40
446661,599,20,59,60
446664,616,15,115,120
446665,616,15,101,120
446666,631,15,104,120
446668,646,15,106,120
446679,242,30,38,40
446680,225,30,36,40
446681,208,30,34,40
446682,55,20,58,60
446684,21,20,58,60
446687,599,20,58,60
446689,582,20,58,60
446690,565,20,58,60
446694,72,25,17,50
446711,646,15,119,120
446713,631,15,116,120
446716,631,15,117,120
446717,646,15,115,120
446719,599,20,59,60
446721,599,20,59,60
446722,293,20,58,60
446723,293,20,58,60
446724,548,25,48,50
446725,378,25,46,50
446726,497,30,36,40
446735,646,15,107,120
446744,327,20,59,60
446748,599,20,59,60
446750,599,20,54,60
446751,599,20,53,60
446753,582,20,57,60
446764,646,15,119,120
446767,327,20,59,60
446774,310,20,9,60
446775,276,20,7,60
446776,259,20,8,60
446777,140,20,8,60
446778,123,20,59,60
446779,582,20,41,60
446781,565,20,43,60
446782,293,20,48,60
446784,599,20,40,60
446789,293,20,59,60
446791,548,25,48,50
446803,480,30,39,40
446804,259,20,59,60
446809,259,20,59,60
446812,327,20,7,60
446813,327,20,58,60
446816,140,20,48,60
446818,548,25,49,50
446826,497,30,38,40
446839,310,20,59,60
446840,599,20,59,60
446841,582,20,59,60
446850,106,20,59,60
446852,599,20,59,60
446857,497,30,39,40
446858,565,20,55,60
446859,565,20,55,60
446861,599,20,54,60
446869,480,30,39,40
446870,646,15,119,120
446890,276,20,59,60
446891,599,20,59,60
446892,646,15,77,120
446896,616,15,119,120
446922,140,20,58,60
446930,123,20,58,60
446940,55,20,59,60
446941,55,20,59,60
446956,446,30,37,40
446959,599,20,59,60
446960,429,30,39,40
446961,429,30,30,40
446963,242,30,26,40
446966,582,20,59,60
446969,514,25,49,50
446971,582,20,59,60
446979,599,20,59,60
446982,582,20,57,60
446984,548,25,49,50
446987,548,25,49,50
446990,646,15,119,120
446997,480,30,37,40
446998,599,20,59,60
447012,646,15,84,120
447013,599,20,59,60
447014,463,30,32,40
447015,582,20,59,60
447024,497,30,21,40
447025,631,15,115,120
447027,616,15,114,120
447030,480,30,34,40
447032,463,30,35,40
447053,21,20,59,60
447058,514,25,49,50
447061,582,20,59,60
447063,463,30,39,40
447064,582,20,30,60
447067,480,30,15,40
447074,480,30,39,40
447075,582,20,53,60
